,Date,Tweet,Stock Name,Company Name,Sentiment,Negative,Neutral,Positive
37421,2021-09-30 01:16:13+00:00,"In other words, AMD has been giving Tesla preferential treatment bc it knows that most of the legacy OEMs will be gone in a few years. Very smart.

$TSLA https://t.co/XvkJhCd4VQ",TSLA,"Tesla, Inc.",positive,0.027548932,0.22932611,0.74312496
37420,2021-09-30 01:38:26+00:00,"Get ready for a $TSLA _ _ _ _ _ _  Q3 delivery number.

Have ur own answer below 👇🏻",TSLA,"Tesla, Inc.",neutral,0.053047564,0.78710663,0.15984574
37419,2021-09-30 01:59:02+00:00,Hold. On. Tight. $TSLA,TSLA,"Tesla, Inc.",neutral,0.12256133,0.78897494,0.088463716
37418,2021-09-30 02:40:26+00:00,"I agree with @freshjiva that $TSLA ‘s EV business alone is worth &gt; $1,100/sh w/o FSD. Where we likely disagree: It’s the marginal ROIC (MROIC) that matters more than the 23% avg ROIC, which is based on invested capital book value. MROIC is the FCF return on cash or market value. https://t.co/kos78KiDuj",TSLA,"Tesla, Inc.",neutral,0.12793128,0.6046199,0.26744878
37416,2021-09-30 03:14:53+00:00,"https://t.co/SvBdJVrYUW - What Elon Musk JUST Said (highlights) SUPERCUT!

NEW

$TSLA #Tesla @Tesla @elonmusk #ElonMusk #Psychedelics https://t.co/tcWIzL98Mn",TSLA,"Tesla, Inc.",positive,0.0125119295,0.28269932,0.70478874
37415,2021-09-30 04:01:09+00:00,"If humans could tell the difference between lies and facts there would be no lies.

The media industry is far more powerful than most people realize.
$TSLA

But the dam is cracking.

You’re gonna love me someday.

Love

Dad https://t.co/DS38Hw2BxX",TSLA,"Tesla, Inc.",positive,0.109283045,0.3307548,0.55996215
37414,2021-09-30 04:11:31+00:00,"*TESLA PLANT IN GERMANY TO GET OVERALL APPROVAL

$TSLA",TSLA,"Tesla, Inc.",neutral,0.031855386,0.8153544,0.1527902
37412,2021-09-30 04:39:43+00:00,"*CHAMATH PALIHAPITIYA SAYS HE SOLD HIS TESLA POSITION: CNBC

$TSLA https://t.co/Kfsfi5SJG3",TSLA,"Tesla, Inc.",neutral,0.25327122,0.7131998,0.033529025
37411,2021-09-30 05:50:59+00:00,"in honor of $TSLA trademarking the Cyberquad 

here's my most viewed YouTube video from the 2019 Cybertruck launch where I filmed the prototype #cyberquad @elonmusk  https://t.co/PI9yybDz8p",TSLA,"Tesla, Inc.",positive,0.0012431096,0.18376417,0.81499267
37410,2021-09-30 06:38:00+00:00,"🐳 news:

- No debt ceiling passed
- $HOOD 🤝 $SNAP
- $HOOD sold $AMC BEFORE restrictions, #CitadelScandal 
- @federalreserve highest reverse repo ever
- Powell: inflation increasing
- $CEI: 8% AH, ended 📈
- @chamath: sells $TSLA
- Futures 🟢: https://t.co/nH5RI94Tsz https://t.co/4FQSOWIIkK",TSLA,"Tesla, Inc.",neutral,0.1315988,0.78538436,0.08301682
